ELEMENT,DISTRICTE,BARRI,CODI_BARRI,ANY_ALTA,MES_ALTA_NOM,RECOMPTE,POBLACIO_HOMES,POBLACIO_DONES,POBLACIO_TOTAL,SUPERFICIE_TERRITORI,SUPERFICIE_RESIDENCIAL,TEMPERATURA,PRECIPITACIONS
Lavabo públic,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2023,Agost,1,10868,11173,22041,111.0,32.401,26.0,44.6
Lavabo públic,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2023,Febrer,1,10868,11173,22041,111.0,32.401,10.3,40.7
Lavabo públic,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2023,Juliol,5,10868,11173,22041,111.0,32.401,25.5,6.2
Lavabo públic,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2023,Juny,1,10868,11173,22041,111.0,32.401,23.4,39.8
Lavabo públic,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2023,Setembre,1,10868,11173,22041,111.0,32.401,23.2,50.4
Lavabo públic,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2024,Abril,2,11105,11368,22473,111.0,32.401,15.0,94.5
Lavabo públic,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2024,Juliol,5,11105,11368,22473,111.0,32.401,25.8,33.4
Lavabo públic,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2024,Juny,1,11105,11368,22473,111.0,32.401,21.3,74.7
Lavabo públic,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2024,Maig,1,11105,11368,22473,111.0,32.401,18.2,29.6
Lavabo públic,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2024,Març,2,11105,11368,22473,111.0,32.401,13.1,87.9
Lavabo públic,Ciutat Vella,Sant Pere Santa Caterina i la Ribera,4,2024,Octubre,2,11105,11368,22473,111.0,32.401,18.2,118.5
Lavabo públic,Ciutat Vella,el Barri Gòtic,2,2023,Agost,3,15184,9276,24460,81.6,34.15,26.0,44.6
Lavabo públic,Ciutat Vella,el Barri Gòtic,2,2023,Juny,2,15184,9276,24460,81.6,34.15,23.4,39.8
Lavabo públic,Ciutat Vella,el Barri Gòtic,2,2023,Maig,1,15184,9276,24460,81.6,34.15,18.1,46.5
Lavabo públic,Ciutat Vella,el Barri Gòtic,2,2023,Novembre,1,15184,9276,24460,81.6,34.15,14.8,3.7
Lavabo públic,Ciutat Vella,el Barri Gòtic,2,2023,Octubre,1,15184,9276,24460,81.6,34.15,20.2,29.2
Lavabo públic,Ciutat Vella,el Barri Gòtic,2,2024,Abril,2,17321,9901,27222,81.6,34.15,15.0,94.5
Lavabo públic,Ciutat Vella,el Barri Gòtic,2,2024,Febrer,1,17321,9901,27222,81.6,34.15,13.4,27.8
Lavabo públic,Ciutat Vella,el Barri Gòtic,2,2024,Juliol,3,17321,9901,27222,81.6,34.15,25.8,33.4
Lavabo públic,Ciutat Vella,el Barri Gòtic,2,2024,Maig,1,17321,9901,27222,81.6,34.15,18.2,29.6
Lavabo públic,Ciutat Vella,el Barri Gòtic,2,2024,Març,1,17321,9901,27222,81.6,34.15,13.1,87.9
Lavabo públic,Ciutat Vella,el Barri Gòtic,2,2024,Octubre,5,17321,9901,27222,81.6,34.15,18.2,118.5
Lavabo públic,Ciutat Vella,el Barri Gòtic,2,2024,Setembre,3,17321,9901,27222,81.6,34.15,20.8,70.7
Lavabo públic,Ciutat Vella,el Raval,1,2023,Abril,1,24042,21629,45671,110.0,49.577,16.1,36.0
Lavabo públic,Ciutat Vella,el Raval,1,2023,Agost,2,24042,21629,45671,110.0,49.577,26.0,44.6
Lavabo públic,Ciutat Vella,el Raval,1,2023,Febrer,1,24042,21629,45671,110.0,49.577,10.3,40.7
Lavabo públic,Ciutat Vella,el Raval,1,2023,Gener,2,24042,21629,45671,110.0,49.577,9.2,8.7
Lavabo públic,Ciutat Vella,el Raval,1,2023,Juliol,4,24042,21629,45671,110.0,49.577,25.5,6.2
Lavabo públic,Ciutat Vella,el Raval,1,2023,Juny,1,24042,21629,45671,110.0,49.577,23.4,39.8
Lavabo públic,Ciutat Vella,el Raval,1,2023,Maig,1,24042,21629,45671,110.0,49.577,18.1,46.5
Lavabo públic,Ciutat Vella,el Raval,1,2023,Març,3,24042,21629,45671,110.0,49.577,14.1,1.0
Lavabo públic,Ciutat Vella,el Raval,1,2023,Octubre,1,24042,21629,45671,110.0,49.577,20.2,29.2
Lavabo públic,Ciutat Vella,el Raval,1,2023,Setembre,1,24042,21629,45671,110.0,49.577,23.2,50.4
Lavabo públic,Ciutat Vella,el Raval,1,2024,Abril,1,24646,22288,46934,110.0,49.577,15.0,94.5
Lavabo públic,Ciutat Vella,el Raval,1,2024,Agost,3,24646,22288,46934,110.0,49.577,26.9,17.6
Lavabo públic,Ciutat Vella,el Raval,1,2024,Juliol,4,24646,22288,46934,110.0,49.577,25.8,33.4
Lavabo públic,Ciutat Vella,el Raval,1,2024,Juny,4,24646,22288,46934,110.0,49.577,21.3,74.7
Lavabo públic,Ciutat Vella,el Raval,1,2024,Maig,1,24646,22288,46934,110.0,49.577,18.2,29.6
Lavabo públic,Ciutat Vella,el Raval,1,2024,Novembre,2,24646,22288,46934,110.0,49.577,14.8,54.3
Lavabo públic,Ciutat Vella,el Raval,1,2024,Setembre,2,24646,22288,46934,110.0,49.577,20.8,70.7
Lavabo públic,Ciutat Vella,la Barceloneta,3,2023,Abril,1,7042,7232,14274,117.9,14.572,16.1,36.0
Lavabo públic,Ciutat Vella,la Barceloneta,3,2023,Desembre,3,7042,7232,14274,117.9,14.572,12.1,2.7
Lavabo públic,Ciutat Vella,la Barceloneta,3,2023,Juliol,10,7042,7232,14274,117.9,14.572,25.5,6.2
Lavabo públic,Ciutat Vella,la Barceloneta,3,2023,Juny,1,7042,7232,14274,117.9,14.572,23.4,39.8
Lavabo públic,Ciutat Vella,la Barceloneta,3,2023,Maig,1,7042,7232,14274,117.9,14.572,18.1,46.5
Lavabo públic,Ciutat Vella,la Barceloneta,3,2023,Novembre,3,7042,7232,14274,117.9,14.572,14.8,3.7
Lavabo públic,Ciutat Vella,la Barceloneta,3,2023,Octubre,3,7042,7232,14274,117.9,14.572,20.2,29.2
Lavabo públic,Ciutat Vella,la Barceloneta,3,2023,Setembre,4,7042,7232,14274,117.9,14.572,23.2,50.4
Lavabo públic,Ciutat Vella,la Barceloneta,3,2024,Desembre,1,7137,7389,14526,117.9,14.572,10.4,38.4
Lavabo públic,Ciutat Vella,la Barceloneta,3,2024,Gener,7,7137,7389,14526,117.9,14.572,11.1,26.8
Lavabo públic,Ciutat Vella,la Barceloneta,3,2024,Juliol,3,7137,7389,14526,117.9,14.572,25.8,33.4
Lavabo públic,Ciutat Vella,la Barceloneta,3,2024,Maig,1,7137,7389,14526,117.9,14.572,18.2,29.6
Lavabo públic,Ciutat Vella,la Barceloneta,3,2024,Març,1,7137,7389,14526,117.9,14.572,13.1,87.9
Lavabo públic,Eixample,Sant Antoni,10,2023,Gener,2,18225,20044,38269,80.4,41.31,9.2,8.7
Lavabo públic,Eixample,Sant Antoni,10,2023,Octubre,2,18225,20044,38269,80.4,41.31,20.2,29.2
Lavabo públic,Eixample,Sant Antoni,10,2024,Abril,1,18478,20220,38698,80.4,41.31,15.0,94.5
Lavabo públic,Eixample,Sant Antoni,10,2024,Març,2,18478,20220,38698,80.4,41.31,13.1,87.9
Lavabo públic,Eixample,Sant Antoni,10,2024,Octubre,1,18478,20220,38698,80.4,41.31,18.2,118.5
Lavabo públic,Eixample,el Fort Pienc,5,2023,Agost,1,16523,17880,34403,92.9,33.621,26.0,44.6
Lavabo públic,Eixample,el Fort Pienc,5,2023,Juny,2,16523,17880,34403,92.9,33.621,23.4,39.8
Lavabo públic,Eixample,el Fort Pienc,5,2024,Juliol,1,17483,18636,36119,92.9,33.621,25.8,33.4
